Sum of Megatrials/Sec,Column Labels,,,,,
Row Labels,1,2,4,6,8,Grand Total
1,1.62,0.76,0.62,0.52,0.51,4.03
10,11.22,7.62,6.54,6.28,4.67,36.33
100,38.79,43.56,47.8,49.9,39.46,219.51
1000,40.75,65.39,111.77,147.65,184.53,550.09
10000,42.48,83.76,157.05,241.54,258.71,783.54
100000,41.66,83.11,145.93,232.26,295.73,798.69
500000,41.07,79.76,157.78,209.95,291.36,779.92
1000000,39.74,77.04,143.65,215.78,181.22,657.43
Grand Total,257.33,441,771.14,1103.88,1256.19,3829.54
,,,,,,
,,,,,,
,,,,,,
,1,2,4,6,8,
1,1.62,0.76,0.62,0.52,0.51,
10,11.22,7.62,6.54,6.28,4.67,
100,38.79,43.56,47.8,49.9,39.46,
1000,40.75,65.39,111.77,147.65,184.53,
10000,42.48,83.76,157.05,241.54,258.71,
100000,41.66,83.11,145.93,232.26,295.73,
500000,41.07,79.76,157.78,209.95,291.36,
1000000,39.74,77.04,143.65,215.78,181.22,
